person_party_id,start_dt,end_dt,next_start_dt,program_start_date,program_end_date,program_exit_code,cms_user_ext_id,final_term,credential,term_length,prior_cum_credits_not_completed,full_part_time,term_attempted_credits,on_campus,delta_unmet_need,unmet_need,prior_term_earned_credits,prior_total_credit_hours,high_school_gpa,term_start_month,prior_term_start_month,prior_full_part_time,primary_major,prior_term_fraction_completed_credits,transfer,prior_term_gpa,admitted_zip_code,prior_cumulative_gpa,time_at_institution,prediction,outcome
1062634,1/4/16,1/22/16,1/27/16,8/29/12,10/11/16,4,380680,FALSE,BS,18,6,Full-time,3,FALSE,,,12.75,105.5,3.588,Jan,Aug,Full-time,BIOL,0.77,FALSE,2.121,46163,2.616,3.35,0.993620467,1
1063165,8/28/13,12/13/13,1/3/14,8/28/13,4/10/15,2,390056,FALSE,BS,107,,Full-time,13.5,TRUE,,0,,,3.295,Aug,Unknown,Unknown,EXFT,,FALSE,,46112,,0,0.983706926,1
1064017,8/26/15,12/11/15,,8/26/15,12/11/15,4,407301,TRUE,BS,107,,Full-time,12,TRUE,,22999,,,3.289,Aug,Unknown,Unknown,SPMT,,FALSE,,47994,,0,0.215569487,0
1062843,1/3/14,1/23/14,1/29/14,8/28/13,4/10/15,2,384243,FALSE,BS,20,0,Full-time,3,FALSE,,,16,16,3.8,Jan,Aug,Full-time,EXFT,1,FALSE,3.831,46040,3.831,0.35,0.970601127,1
1063015,1/29/15,5/14/15,8/26/15,11/13/13,4/6/16,2,388435,FALSE,BS,105,-0.25,Full-time,13,TRUE,,1137,3,49.25,2.791,Jan,Jan,Full-time,FIN,1,FALSE,2.3,47367,2.308,1.42,0.923272558,1
1063168,1/6/15,1/26/15,1/29/15,8/28/13,3/24/15,2,390239,FALSE,BS,20,-0.25,Full-time,3,FALSE,,,15,47.75,3.591,Jan,Aug,Full-time,PPHRM,1,FALSE,2.607,47371,2.638,1.35,0.992762944,1
1063086,1/3/14,1/23/14,1/29/14,8/28/13,12/11/15,4,389162,FALSE,BS,20,-0.25,Part-time,2,FALSE,,,14.25,14.25,3.336,Jan,Aug,Full-time,BIOCH,1.01,FALSE,2.707,45426,2.707,0.35,0.983706939,1
1062679,1/29/15,5/14/15,8/26/15,8/29/12,5/12/16,1,381339,FALSE,BS,105,-0.5,Full-time,15.5,TRUE,,0,3,87.5,3.8,Jan,Jan,Full-time,BIOCH,1,FALSE,0,49008,3.671,2.41,0.908407599,1
1062321,1/3/14,1/23/14,1/29/14,5/8/13,,,374958,FALSE,BS,20,12.75,Full-time,3,FALSE,,,15.75,65.25,3.38,Jan,Aug,Full-time,MGMT,1.01,FALSE,2.248,47203,1.805,2.34,0.857646218,1
1062003,1/3/14,1/23/14,1/29/14,4/20/12,5/14/15,1,368263,FALSE,BS,20,8.25,Full-time,3,FALSE,,,14.75,103.75,2.652,Jan,Aug,Full-time,ATRN,1.01,FALSE,3.379,46254,2.645,3.34,0.985518993,1
1062019,1/3/14,1/23/14,1/29/14,9/1/10,5/15/14,1,368734,FALSE,BS,20,-0.75,Full-time,4,FALSE,,,17.25,120.25,4,Jan,Aug,Full-time,PSYC,1.01,FALSE,3.347,46173,3.542,3.34,0.996606744,1
